title,category,price,sale_price,sku,availability,options,image_urls,product_url
Max & Lily 1 Drawer Night Stand with Shelf,Bunk Beds,,$338.00,,,attribute_pa_finish=Espresso/Grey/Natural/White,https://bedsmart.ca/wp-content/uploads/2022/06/1434.jpg|https://bedsmart.ca/wp-content/uploads/2022/06/1438.jpg|https://bedsmart.ca/wp-content/uploads/2022/06/1436.jpg|https://bedsmart.ca/wp-content/uploads/2022/06/258.jpg,https://bedsmart.ca/product/1-drawer-night-stand-with-shelf/
Maxtrix Twin Low Basic Bed,Bunk Beds,,$788.00,,In stock,,https://bedsmart.ca/wp-content/uploads/2022/06/567.jpg|https://bedsmart.ca/wp-content/uploads/2022/06/569.jpg|https://bedsmart.ca/wp-content/uploads/2022/06/570.jpg|https://bedsmart.ca/wp-content/uploads/2022/06/572.jpg,https://bedsmart.ca/product/1000-maxtrix-twin-low-basic-bed/
Maxtrix Twin Medium Basic Bed,Bunk Beds,,$886.00,,In stock,,https://bedsmart.ca/wp-content/uploads/2016/11/1000_20wp__6_1024x1024_2x-1.jpg|https://bedsmart.ca/wp-content/uploads/2016/11/1000_20cp__1_1024x1024_2x.jpg|https://bedsmart.ca/wp-content/uploads/2016/11/1000_20cp__3_1024x1024_2x.jpg|https://bedsmart.ca/wp-content/uploads/2016/11/1000_20cp__6_1024x1024_2x.jpg|https://bedsmart.ca/wp-content/uploads/2016/11/1000_20np__1_1024x1024_2x.jpg|https://bedsmart.ca/wp-content/uploads/2016/11/1000_20np__3_1024x1024_2x.jpg|https://bedsmart.ca/wp-content/uploads/2016/11/1000_20np__6_1024x1024_2x.jpg|https://bedsmart.ca/wp-content/uploads/2016/11/1000_20wp__1_1024x1024_2x.jpg|https://bedsmart.ca/wp-content/uploads/2016/11/1000_20wp__3_1024x1024_2x.jpg|https://bedsmart.ca/wp-content/uploads/2016/11/1000_20wp__6_1024x1024_2x.jpg|https://bedsmart.ca/wp-content/uploads/2022/06/579.jpg|https://bedsmart.ca/wp-content/uploads/2022/06/580.jpg,https://bedsmart.ca/product/1040-maxtrix-twin-medium-basic-bed-solid-wood/
Maxtrix Twin High Basic Bed,Bunk Beds,,$924.00,,In stock,,https://bedsmart.ca/wp-content/uploads/2016/11/1060_20ns__1_900x.webp|https://bedsmart.ca/wp-content/uploads/2016/11/1060_20cp__1_900x.webp|https://bedsmart.ca/wp-content/uploads/2016/11/1060_20cp__3_900x.webp|https://bedsmart.ca/wp-content/uploads/2016/11/1060_20cs__1_900x.webp|https://bedsmart.ca/wp-content/uploads/2016/11/1060_20cs__3_900x.webp|https://bedsmart.ca/wp-content/uploads/2016/11/1060_20cs__6_900x.webp|https://bedsmart.ca/wp-content/uploads/2016/11/1060_20np__1_900x.webp|https://bedsmart.ca/wp-content/uploads/2016/11/1060_20np__3_900x.webp|https://bedsmart.ca/wp-content/uploads/2016/11/1060_20ns__3_900x.webp|https://bedsmart.ca/wp-content/uploads/2016/11/1060_20ns__6_900x.webp|https://bedsmart.ca/wp-content/uploads/2016/11/1060_20wc__1_900x.webp|https://bedsmart.ca/wp-content/uploads/2016/11/1060_20wp__1_900x.webp|https://bedsmart.ca/wp-content/uploads/2016/11/1060_20ws__1_900x.webp|https://bedsmart.ca/wp-content/uploads/2016/11/1060_20wp__3_900x.webp|https://bedsmart.ca/wp-content/uploads/2016/11/1060_20ws__3_900x.webp|https://bedsmart.ca/wp-content/uploads/2016/11/1060_20ws__6_900x.webp|https://bedsmart.ca/wp-content/uploads/2022/06/592.jpg|https://bedsmart.ca/wp-content/uploads/2022/06/593.jpg,https://bedsmart.ca/product/1060-maxtrix-twin-high-basic-bed/
Maxtrix Twin Platform Bed,Bunk Beds,,$607.00,,,attribute_pa_finish=Espresso/Natural/White,https://bedsmart.ca/wp-content/uploads/2016/11/1000_20wp__6_1024x1024_2x-1.jpg|https://bedsmart.ca/wp-content/uploads/2016/11/1075_20001__1_900x.webp|https://bedsmart.ca/wp-content/uploads/2016/11/1075_20001__2_900x.webp|https://bedsmart.ca/wp-content/uploads/2016/11/1075_20001__3_900x.webp|https://bedsmart.ca/wp-content/uploads/2016/11/1075_20002__1_900x.webp|https://bedsmart.ca/wp-content/uploads/2016/11/1075_20002__2_900x.webp|https://bedsmart.ca/wp-content/uploads/2016/11/1075_20002__3_900x.webp|https://bedsmart.ca/wp-content/uploads/2016/11/1075_20003__1_900x.webp|https://bedsmart.ca/wp-content/uploads/2016/11/1075_20003__2_900x.webp|https://bedsmart.ca/wp-content/uploads/2016/11/1075_20003__3_900x.webp|https://bedsmart.ca/wp-content/uploads/2022/06/1653.jpg|https://bedsmart.ca/wp-content/uploads/2022/06/1652.jpg,https://bedsmart.ca/product/1075-maxtrix-twin-platform-bed/
1210 MAXTRIX TRUNDLE BED,Bunk Beds,,$452.00,,In stock,,https://bedsmart.ca/wp-content/uploads/2022/06/611.jpg|https://bedsmart.ca/wp-content/uploads/2022/06/612.jpg|https://bedsmart.ca/wp-content/uploads/2016/11/slope-natural-slat-above-trundle-open.jpg|https://bedsmart.ca/wp-content/uploads/2016/11/slope-white-panel-center-trundle-open.jpg|https://bedsmart.ca/wp-content/uploads/2016/11/slope-chestnut-panel-center-trundle-open.jpg,https://bedsmart.ca/product/1210-maxtrix-trundle-bed-solid-wood/
1215 MAXTRIX TRUNDLE DRAWER,Bunk Beds,,$641.00,,In stock,,https://bedsmart.ca/wp-content/uploads/2022/06/615.jpg|https://bedsmart.ca/wp-content/uploads/2022/06/616.jpg|https://bedsmart.ca/wp-content/uploads/2022/06/619.jpg|https://bedsmart.ca/wp-content/uploads/2022/06/620.jpg,https://bedsmart.ca/product/1215-maxtrix-trundle-drawer/
MAXTRIX 2 DRAWER UNIT,Bunk Beds,,$713.00,,In stock,,https://bedsmart.ca/wp-content/uploads/2022/06/maxtrix-2-drawer-unit.jpg|https://bedsmart.ca/wp-content/uploads/2022/06/1089.jpg|https://bedsmart.ca/wp-content/uploads/2022/06/1090.jpg,https://bedsmart.ca/product/1610-maxtrix-2-drawer-unit/
Max & Lily 2 Over 3 Dresser with Crown,Bunk Beds,,$908.00,,,attribute_pa_finish=Espresso/Grey/White/Blue,https://bedsmart.ca/wp-content/uploads/2022/06/2901.jpg|https://bedsmart.ca/wp-content/uploads/2022/06/2898.jpg|https://bedsmart.ca/wp-content/uploads/2022/06/2899.jpg|https://bedsmart.ca/wp-content/uploads/2022/06/2931.jpg|https://bedsmart.ca/wp-content/uploads/2022/06/2907.jpg|https://bedsmart.ca/wp-content/uploads/2022/06/2939.jpg|https://bedsmart.ca/wp-content/uploads/2022/06/2940.jpg|https://bedsmart.ca/wp-content/uploads/2022/06/solid-wood-max-and-lily-2-over-3-dresser-in-espresso-finish.jpg|https://bedsmart.ca/wp-content/uploads/2022/06/2878.jpg,https://bedsmart.ca/product/2-over-3-dresser/
Maxtrix Full Low Basic Bed,Bunk Beds,,"$1,044.00",,,attribute_pa_bed-end-style=Panel/Slat | attribute_pa_finish=Espresso/Natural/White,https://bedsmart.ca/wp-content/uploads/2022/06/574.jpg|https://bedsmart.ca/wp-content/uploads/2022/06/573.jpg|https://bedsmart.ca/wp-content/uploads/2022/06/576.jpg,https://bedsmart.ca/product/2000-maxtrix-full-low-basic-bed-solid-wood/
